Voltage (kV),Bus Number,Bus Name,Area,Zone,Voltage (pu),Mnemonic,Category,Action
275.0,163213,ATWRFIC,TNB,PERAK,1.0188,ATWRFIC,Fictitious/Temporary,No action - correctly unlinked
275.0,197227,BPHEFIC1,TNB,JOHOR,1.0312,BPHEFIC,Fictitious/Temporary,No action - correctly unlinked
275.0,297227,BPHEFIC2,TNB,JOHOR,1.0312,BPHEFIC,Fictitious/Temporary,No action - correctly unlinked
275.0,161214,HVDC,EGAT,EGAT,1.0344,HVDC,Potentially Linkable,Review - check if substation exists
275.0,552027,OLPTLHS,TNB,SELANGOR,1.0208,OLPTLHS,Potentially Linkable,Review - check if substation exists
275.0,52027,OLPTRHS,TNB,SELANGOR,1.0236,OLPTRHS,Potentially Linkable,Review - check if substation exists
275.0,3184,PGLAGTB1,TNB,MELAKA,1.0312,PGLAGTB,Generator Terminal,No action - correctly unlinked
275.0,3185,PGLAGTB2,TNB,MELAKA,1.0312,PGLAGTB,Generator Terminal,No action - correctly unlinked
275.0,3186,PGLASTB3,TNB,MELAKA,1.0312,PGLASTB,Potentially Linkable,Review - check if substation exists
275.0,388208,SRYAFIC1,TNB,WPKL,1.0339,SRYAFIC,Fictitious/Temporary,No action - correctly unlinked
275.0,488208,SRYAFIC2,TNB,WPKL,1.0339,SRYAFIC,Fictitious/Temporary,No action - correctly unlinked
275.0,2595,TJGSM1A,TNB,NS,1.0261,TJGSM,Potentially Linkable,Review - check if substation exists
275.0,2597,TJGSM1B,TNB,NS,1.0261,TJGSM,Potentially Linkable,Review - check if substation exists
275.0,75209,YPKA275,TNB,TGANU,1.0000,YPKA,Potentially Linkable,Review - check if substation exists
132.0,12112,,SPPG,SPPG,1.0032,,Empty Name,No action - correctly unlinked
132.0,97160,ASTM132,TNB,JOHOR,1.0289,ASTM,Potentially Linkable,Review - check if substation exists
132.0,174125,GNTG132_T1,TNB,WPKL,1.0322,GNTG,Generator Terminal,No action - correctly unlinked
132.0,61138,GRNPV132,TNB,P PINANG,1.0251,GRNPV,Potentially Linkable,Review - check if substation exists
132.0,96167,JSNPV132R,TNB,MELAKA,1.0161,JSNPV,Potentially Linkable,Review - check if substation exists
132.0,1962,KHTE132,TNB,P PINANG,1.0000,KHTE,Potentially Linkable,Review - check if substation exists
132.0,163131,LMTMFIC,TNB,PERAK,1.0199,LMTMFIC,Fictitious/Temporary,No action - correctly unlinked
132.0,62146,MWTA132,TNB,P PINANG,1.0124,MWTA,Potentially Linkable,Review - check if substation exists
132.0,562146,MWTA132R,TNB,P PINANG,1.0127,MWTA,Potentially Linkable,Review - check if substation exists
132.0,1960,NURG132,TNB,KEDAH,1.0247,NURG,Generator Terminal,No action - correctly unlinked
132.0,74165,RLCC,TNB,PAHANG,1.0344,RLCC,Potentially Linkable,Review - check if substation exists
