Bus Number,Bus Name,Base kV,Area,Zone,Voltage (pu),Potential Mnemonic,Category
661944,SNLSLV,0.415,TNB         ,P PINANG    ,1.0024,SNLSLV,Potentially Linkable
88501,KULNSVC1,6.7,TNB         ,WPKL        ,0.9370,KULNSVC,Potentially Linkable
19909,,10.5,SPPG        ,SPPG        ,1.0000,,Empty Name
19910,,10.5,SPPG        ,SPPG        ,1.0000,,Empty Name
59034,SRDGGT4,10.5,TNB         ,WPKL        ,1.0220,SRDGGT,Generator Terminal
59035,SRDGGT5,10.5,TNB         ,WPKL        ,1.0220,SRDGGT,Generator Terminal
12555,,11.0,SPPG        ,SPPG        ,1.0009,,Empty Name
19911,,11.0,SPPG        ,SPPG        ,0.9964,,Empty Name
19912,,11.0,SPPG        ,SPPG        ,0.9964,,Empty Name
19913,,11.0,SPPG        ,SPPG        ,1.0000,,Empty Name
19914,,11.0,SPPG        ,SPPG        ,0.9952,,Empty Name
62906,GLGRST1,11.0,TNB         ,P PINANG    ,1.0360,GLGRST,Generator Terminal
9300,NURGT1A,11.0,TNB         ,KEDAH       ,1.0247,NURGT,Generator Terminal
9301,NURGT1B,11.0,TNB         ,KEDAH       ,1.0247,NURGT,Generator Terminal
9303,NURGT2A,11.0,TNB         ,KEDAH       ,1.0247,NURGT,Generator Terminal
9304,NURGT2B,11.0,TNB         ,KEDAH       ,1.0247,NURGT,Generator Terminal
9302,NURST1C,11.0,TNB         ,KEDAH       ,1.0247,NURST,Generator Terminal
9305,NURST2C,11.0,TNB         ,KEDAH       ,1.0247,NURST,Generator Terminal
19988,,11.5,SPPG        ,SPPG        ,1.0011,,Empty Name
19989,,11.5,SPPG        ,SPPG        ,1.0011,,Empty Name
19998,,11.5,SPPG        ,SPPG        ,1.0350,,Empty Name
19999,,11.5,SPPG        ,SPPG        ,1.0350,,Empty Name
62904,GLGRGT1,11.5,TNB         ,P PINANG    ,1.0360,GLGRGT,Generator Terminal
559043,JEP1AUX,11.55,TNB         ,NS          ,0.9841,JEP,Potentially Linkable
559044,JEP2AUX,11.55,TNB         ,NS          ,1.0177,JEP,Potentially Linkable
19901,,13.2,SPPG        ,SPPG        ,1.0000,,Empty Name
19902,,13.2,SPPG        ,SPPG        ,0.9911,,Empty Name
19903,,13.2,SPPG        ,SPPG        ,0.9985,,Empty Name
62905,GLGRGT2,15.0,TNB         ,P PINANG    ,1.0360,GLGRGT,Generator Terminal
59029,NCBPGT1,15.0,TNB         ,SELANGOR    ,1.0250,NCBPGT,Generator Terminal
96918,TJGSGT1A,15.0,TNB         ,NS          ,1.0270,TJGSGT,Generator Terminal
96919,TJGSGT1B,15.0,TNB         ,NS          ,1.0270,TJGSGT,Generator Terminal
96920,TJGSST1C,15.0,TNB         ,NS          ,1.0198,TJGSST,Generator Terminal
59001,KLPPGT13,15.75,TNB         ,SELANGOR    ,1.0173,KLPPGT,Generator Terminal
59002,KLPPGT14,15.75,TNB         ,SELANGOR    ,1.0124,KLPPGT,Generator Terminal
59003,KLPPGT15,15.75,TNB         ,SELANGOR    ,1.0124,KLPPGT,Generator Terminal
97975,PCGPST31,15.75,TNB         ,JOHOR       ,1.0116,PCGPST,Generator Terminal
96934,PGLAGT11,15.75,TNB         ,MELAKA      ,1.0312,PGLAGT,Generator Terminal
